Question,Answer,Filename
What is the Volume Restriction for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,[],CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the License Grant for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,"['Company hereby grants MA, during the term of this Agreement, the right to use Company and/or Company trade names, trademarks or service marks on Technology or in advertising or promotion relating directly to these products.', 'Subject to the terms and conditions of this Agreement, Company hereby grants to MA the right to advertise, market and sell to corporate users, government agencies and educational facilities (""Clients"") for their own internal language learning, soft skills and communication purposes only, and not for remarketing or redistribution, and not for use in a data center environment for multiple users Clients, unless otherwise agreed to by Company prior in writing, the Technology listed in Schedule A of this Agreement, and to sell and/or bundle Technology Maintenance for the Technology and to provide first line technical support and implementation services for the Technology in the territories listed in Schedule A of this Agreement, providing MA meets the criteria required for delivering services according to Schedule A.', 'MA is authorized to resell Technology within the following territory according to the terms of the Agreement:\n\nWorldwide']",CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Source Code Escrow for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,[],CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Audit Rights for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,"['MA shall keep accurate records of the sales of the Technology and Maintenance, including Client Registration Cards and shall make these records available for review by a representative of Company within ten (10) business days following the end of each month.']",CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Uncapped Liability for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,[],CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Liquidated Damages for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,[],CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Warranty Duration for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,"[""COMPANY'S SOLE AND EXCLUSIVE LIABILITY FOR THE WARRANTY PROVIDED IN SUBPARAGRAH (A) HEREOF SHALL BE TO CORRECT THE TECHNOLOGY TO OPERATE IN SUBSTANTIAL ACCORDANCE WITH ITS THEN CURRENT SPECIFICATIONS OR REPLACE, AT ITS OPTION, THE TECHNOLOGY NOT IN COMPLIANCE WITH COMPANY'S AND COMPANY' PUBLISHED SPECIFICATIONS REGARDING THE TECHNOLOGY; PROVIDED, ANY CLAIM FOR BREACH OF WARRANTY UNDER SUBPARAGRAPH (A) HEREOF MUST BE MADE IN WRITING WITHIN (90) DAYS FROM DATE OF SHIPMENT.""]",CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Insurance for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,[],CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Third Party Beneficiary for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,[],CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Document Name for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,['VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT'],EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Agreement Date for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,"['July 11 , 2006']",EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Effective Date for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,"['July 11 , 2006']",EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Expiration Date for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,"['The term of this Agreement (the ""Initial Term"") shall commence as of the Effective Date and, unless earlier terminated in accordance with this Agreement, shall terminate on June 30, 2010.']",EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Renewal Term for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,"['At Rogers\' option, this Agreement shall renew for a subsequent term of two (2) years on the terms and conditions herein (the ""Renewal Term"").']",EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Governing Law for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,"['This Agreement is subject to all laws, regulations, license conditions and decisions of the Canadian Radio-television and Telecommunications Commission (""CRTC"") municipal, provincial and federal governments or other authorities which are applicable to Rogers and/or Licensor, and which are now in force or hereafter adopted (""Applicable Law"").', 'This Agreement shall be governed by laws of the Province of Ontario and the federal laws of Canada applicable therein.']",EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Most Favored Nation for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,"['In the event that Licensor grants to another VOD or Pay-Per-View (""PPV"") service provider in the U.S. or the Territory the right to distribute or exhibit any Licensed Program on an earlier availability date, then Licensor shall also grant to Rogers the right to distribute and exhibit such Licensed Program on such earlier availability date, on the terms provided herein.', 'If Licensor enters, or has entered, into an agreement or series of agreements (including side letters, understandings or arrangements, whether oral or written, whether formal or informal, whether now or hereafter effective, or whether on a long-term basis or short-term basis) with a third party for the distribution and exhibition of Licensed Programs in the U.S. or the Territory on a VOD basis, or any other basis that permits the downloading of such Licensed Programs and the subsequent viewing of such Licensed Programs by a residential subscriber, on terms (including, without limitation, license fees, copyright royalty payments, encoding fees and obligations, and marketing support) that are more favourable than those contained in this Agreement, then Rogers has the right to incorporate, or substitute, as the case may be, such term or terms into this Agreement, effective as of the date on which such term or terms were accorded to the third party and for the balance of the period such term or terms are applicable to such third party.', 'Licensor shall provide to Rogers, no later than February 28 in each year, a sworn statement of a senior officer of Licensor, or a certificate of the auditors of Licensor, confirming that, during the immediately preceding calendar year, Licensor did not enter into such an agreement or series of agreements or, if it did enter into such agreement(s), confirming the effective date thereof and identifying the terms contained therein that are more favourable than those contained in this Agreement.']",EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Exclusivity for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,[],EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Competitive Restriction Exception for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,[],EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Minimum Commitment for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,"['Licensor shall make available to Rogers, on a free trial basis and at no cost to Rogers, not less than ten (10) Licensed Programs at all times during the Term (each, a ""Promotional Program"") for distribution and exhibition on the ROD Service to promote the Licensed Programs and the ROD Service.']",EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Volume Restriction for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,[],EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the License Grant for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,"['During the Term, Rogers shall have the non-exclusive right to distribute and exhibit each Licensed Program on a VOD basis for a period of ninety (90) consecutive days, or such longer period as may be agreed to by Rogers and Licensor (the ""License Period"").', 'Licensor grants to Rogers the non-exclusive license and right to distribute and exhibit in Canada (the ""Territory"") all entertainment programming to which Licensor owns or controls the VOD distribution and exhibition rights in the Territory (collectively, ""Licensed Programs"") to residential subscribers of Rogers\' digital cable television service on a Video-on-Demand (""VOD"") basis.']",EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Source Code Escrow for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,[],EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Audit Rights for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,"[""During the Term, and for a period of twelve (12) months thereafter, Rogers (and its representatives) shall have the right, upon reasonable prior written notice to Licensor, and during regular business hours, to inspect and/or audit Licensor's books and records to confirm compliance with Licensor's obligations under this Section.""]",EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Uncapped Liability for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,"['Except with respect to any claim or liability arising from an infringement of any third party intellectual property right, in no event shall either party be liable for any special, indirect, consequential, punitive or incidental damages of any kind.']",EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Liquidated Damages for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,[],EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Warranty Duration for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,[],EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Insurance for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,[],EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
What is the Third Party Beneficiary for the contract between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.?,[],EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf
"What is the Document Name for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?",['CONTENT DISTRIBUTION AND LICENSE AGREEMENT'],FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Agreement Date for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?","['November 15, 2012']",FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Effective Date for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?","['November 15, 2012']",FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Expiration Date for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?",[],FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Renewal Term for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?","['License Term Perpetual, unlimited runs x Other: 2 years Commencing: November 15, 2012']",FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Governing Law for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?","['All questions with respect to the construction of this Agreement, and the rights and liabilities of the Parties hereto, shall be governed by the laws of the State of Florida.']",FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Most Favored Nation for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?",[],FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Exclusivity for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?","['During the License Term (which is identified in the Deal Terms), Producer agrees that ConvergTV has the exclusive right to exercise the rights granted to it under this Agreement with respect to the Program, including those in Section 1, within the Licensed Territory.']",FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Competitive Restriction Exception for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?",[],FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Minimum Commitment for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?",[],FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Volume Restriction for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?",[],FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the License Grant for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?","['Producer further grants to ConvergTV the right and license to Distribute and re-Distribute, including relicensing or sublicensing, the Program at such dates and times as are determined by ConvergTV in its sole discretion.', 'For the License Term and within the Licensed Territory, Producer hereby grants to ConvergTV a right and license to Distribute the program, file or video listed on the Deal Terms above (the ""Program"") consisting of<omitted>episodes (series) or<omitted>one-offs, for unlimited runs for the License Term through ConvergTV channels and/or other distribution outlets, in accordance with the License Rights.', '""Licensed Rights"" to ConvergTV and ConvergTV Channels and/or Distribution Outlets x All, including but not limited to: xSimultaneous Internet Streaming x OTT Television x Internet Protocol Television x Radio, short wave, microwave, fiber optic x Alternative, secondary and specialty distribution x Stored as VOD, Content Distribution Networks/Company Servers x Full Television Broadcast Rights: x Free: Terrestrial, Cable, Satellite x Pay: Terrestrial, Cable, Satellite x Direct Satellite IP Distribution Systems', 'Producer further grants to ConvergTV the right and license to create (re-edit), at its sole cost and expense, new and different versions of the Program, create foreign language, subtitled or translated versions of the Program as well as to create closed captioned versions of the Program, including NTCS, PAL, SEACAM standards, or other standards, including those yet to be developed.', 'The grant of rights and license pursuant to this Section 1 shall include, but not be limited to, the right of ConvergTV to Distribute and re-Distribute all or any portions of the Program and Promotional Works, including excerpts therefrom, and any new and different versions of the Program, on simultaneous internet transmission or streaming, internet protocol television and any television networks and stations, and/or other distribution outlets, via domestic or foreign television signals, as well as through CATV and DBS systems, satellite, microwave, fiber optic and/or other modes of Distribution yet to be developed, but which may be utilized by ConvergTV in the future.', 'Producer further grants to ConvergTV the right and license to utilize any and all footage from the Program for promotional and marketing purposes related to the Distribution of the Program and for promotion of channels or other distribution methods.', 'Producer further grants to ConvergTV the right and license to Distribute the Program on any ConvergTV channel, and/or other distribution outlets, that exists today or that is created or developed in the future and this right includes the right to Distribute on any channels of a ConvergTV affiliate and/or other distribution outlets without limitation.']",FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Source Code Escrow for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?",[],FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Audit Rights for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?","[""Each of the Parties may, at its own expense, audit the other Party's compliance with this Agreement, including but not limited to, auditing the other Party's representations and warranties.""]",FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Uncapped Liability for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?",[],FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Liquidated Damages for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?",[],FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Warranty Duration for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?",[],FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Insurance for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?",[],FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Third Party Beneficiary for the contract between Fulucai Productions Ltd. and CONVERGTV, INC.?",[],FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf
"What is the Document Name for the contract between PSiTech Corporation and Empirical Ventures, Inc?",['WEBSITE CONTENT LICENSE AGREEMENT'],GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Agreement Date for the contract between PSiTech Corporation and Empirical Ventures, Inc?","['Feb 10, 2014']",GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Effective Date for the contract between PSiTech Corporation and Empirical Ventures, Inc?","['Feb 10, 2014']",GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Expiration Date for the contract between PSiTech Corporation and Empirical Ventures, Inc?","['The initial term of this Agreement commences as of the Effective Date and, unless terminated earlier pursuant to any express provision of this Agreement, shall continue until five (5) years following the Effective Date (the ""Initial Term"").']",GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Renewal Term for the contract between PSiTech Corporation and Empirical Ventures, Inc?","['Thereafter, this Agreement shall renew automatically for one (1) additional three (3) year period (the ""Renewal Term"" and collectively, together with the Initial Term, the ""Term"") unless either party provides the other with written notice of non-renewal at least ninety (90) days before the expiration of the Initial Term].']",GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Governing Law for the contract between PSiTech Corporation and Empirical Ventures, Inc?",['This Agreement shall be governed by and construed in accordance with the internal laws of the State of Nevada without giving effect to any choice or conflict of law provision or rule.'],GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Most Favored Nation for the contract between PSiTech Corporation and Empirical Ventures, Inc?",[],GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Exclusivity for the contract between PSiTech Corporation and Empirical Ventures, Inc?","[""Subject to Licensee's on\xadgoing compliance with Section 3.2 and all other terms and conditions of this Agreement, Licensor grants to Licensee an exclusive (save for rights reserved to Licensor hereunder), non-transferable (except as provided in Section 11.7) and non- sublicensable license, during the License Term, to reproduce, perform, display, transmit and distribute the Licensed Content on the Licensee Siteand Related Media intended solely for use by End Usersin the Territory within the scope set forth in Schedule 1 (License Scope), which is attached hereto and incorporated herein by this reference.""]",GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Competitive Restriction Exception for the contract between PSiTech Corporation and Empirical Ventures, Inc?",[],GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Minimum Commitment for the contract between PSiTech Corporation and Empirical Ventures, Inc?",[],GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Volume Restriction for the contract between PSiTech Corporation and Empirical Ventures, Inc?",[],GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the License Grant for the contract between PSiTech Corporation and Empirical Ventures, Inc?","[""Subject to Licensee's on\xadgoing compliance with Section 3.2 and all other terms and conditions of this Agreement, Licensor grants to Licensee an exclusive (save for rights reserved to Licensor hereunder), non-transferable (except as provided in Section 11.7) and non- sublicensable license, during the License Term, to reproduce, perform, display, transmit and distribute the Licensed Content on the Licensee Siteand Related Media intended solely for use by End Usersin the Territory within the scope set forth in Schedule 1 (License Scope), which is attached hereto and incorporated herein by this reference."", ""Licensor grants to Licensee a limited, non-exclusive, non-transferable (except as provided in Section 11.7) and non-sublicensable royalty-free license during the Term to those of Licensor's Marks designated by Licensor from time to time to:   (i)display such Marks on the Licensee Site: (x) with the Licensed Content to provide source attribution; or (y) as links to the Licensed Content;   (ii)comply with its express obligations under this Agreement; and   (iii)advertise, market and promote the availability of the Licensed Content or the Licensee Site and identify the Licensor as a content provider;   provided, that all uses of Licensor's Marks shall require Licensor's prior written approval.""]",GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Source Code Escrow for the contract between PSiTech Corporation and Empirical Ventures, Inc?",[],GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Audit Rights for the contract between PSiTech Corporation and Empirical Ventures, Inc?","['Licensor will pay the cost of such audits unless an audit reveals a discrepancy in payment or reporting of five percent (5%) or more, in which case the Licensee shall reimburse the Licensor for the reasonable cost of the audit.', ""Licensee shall make such books and records, and appropriate personnel, available during normal business hours for audit by Licensor or its authorized representative; provided that Licensor shall:   (a) provide Licensee with reasonable prior notice of any audit;   (b) undertake an audit no more than once per calendar year, unless a prior audit has disclosed a balance due; and   (c) conduct or cause to be conducted such audit in a manner designed to minimize disruption of Licensee's normal business operations.""]",GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Uncapped Liability for the contract between PSiTech Corporation and Empirical Ventures, Inc?","[""The provisions of Section 9.1 and Section 9.2 will not apply to limit the Licensee's indemnification obligations under Section 8.2, or in the case of Licensee's gross negligence or wilful misconduct.""]",GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Liquidated Damages for the contract between PSiTech Corporation and Empirical Ventures, Inc?",[],GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Warranty Duration for the contract between PSiTech Corporation and Empirical Ventures, Inc?",[],GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Insurance for the contract between PSiTech Corporation and Empirical Ventures, Inc?",[],GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Third Party Beneficiary for the contract between PSiTech Corporation and Empirical Ventures, Inc?",[],GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf
"What is the Document Name for the contract between YOU ON DEMAND HOLDINGS, INC and Beijing Sun Seven Stars Culture Development Limited?",['CONTENT LICENSE AGREEMENT'],IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf
"What is the Agreement Date for the contract between YOU ON DEMAND HOLDINGS, INC and Beijing Sun Seven Stars Culture Development Limited?","['December 21, 2015']",IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf
"What is the Effective Date for the contract between YOU ON DEMAND HOLDINGS, INC and Beijing Sun Seven Stars Culture Development Limited?","['December 21, 2015']",IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf
"What is the Expiration Date for the contract between YOU ON DEMAND HOLDINGS, INC and Beijing Sun Seven Stars Culture Development Limited?","['The Term of this Agreement (the ""Term"") shall commence on the Effective Date listed above and continue for twenty (20) years, unless sooner terminated as provided in Section 7(b) [Term and Termination].']",IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf
"What is the Renewal Term for the contract between YOU ON DEMAND HOLDINGS, INC and Beijing Sun Seven Stars Culture Development Limited?",[],IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf
"What is the Governing Law for the contract between YOU ON DEMAND HOLDINGS, INC and Beijing Sun Seven Stars Culture Development Limited?","['This Agreement shall be governed by and construed in all respects in accordance with the laws of the State of New York, without giving effect to any conflicts of laws principles.']",IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf
"What is the Most Favored Nation for the contract between YOU ON DEMAND HOLDINGS, INC and Beijing Sun Seven Stars Culture Development Limited?",[],IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf
"What is the Exclusivity for the contract between YOU ON DEMAND HOLDINGS, INC and Beijing Sun Seven Stars Culture Development Limited?",[],IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf
"What is the Competitive Restriction Exception for the contract between YOU ON DEMAND HOLDINGS, INC and Beijing Sun Seven Stars Culture Development Limited?",[],IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf
"What is the Minimum Commitment for the contract between YOU ON DEMAND HOLDINGS, INC and Beijing Sun Seven Stars Culture Development Limited?",[],IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf
"What is the Volume Restriction for the contract between YOU ON DEMAND HOLDINGS, INC and Beijing Sun Seven Stars Culture Development Limited?",[],IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf
