Filename,Cleaned_Parties
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement.pdf,"['MediaCo Holding Inc.', 'WBLS-WLIB LLC']"
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement.pdf,"['Todos Medical Ltd.', 'Care G. B. Plus Ltd.']"
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement.pdf,"['Bunker One  Inc.', 'Vertex Energy Operating LLC']"
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement.pdf,"['Calm.com, Inc.', 'XpresSpa Group, Inc.']"
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement.pdf,"['SLICON SMELTERS PTY LTD', 'ESPACIO INFORMATION TECHNOLOGY, SA.']"
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.pdf,"['The HUANG JIA Country CLUB and Recreation Inc.', 'Chang Chen-Bin Architects Office']"
ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement.pdf,"['Paratek Pharmaceuticals, Inc.', 'CARBOGEN AMCIS AG']"
PhotronicsInc_20171219_10-QA_EX-10.28_10982650_EX-10.28_Outsourcing Agreement.pdf,"['Photronics, Inc.', 'Dai Nippon Printing Co., Ltd.', 'Photronics DNP Photomask Corporation', 'Xiamen American Japan Photronics Mask Co., Ltd.', 'Phototronics and DNP', 'Shareholder and PDMC']"
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.pdf,"['Pfizer Inc.', 'Exact Sciences Corporation']"
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.pdf,"['Dova Pharmaceuticals, Inc.', 'Valeant Pharmaceuticals North America LLC']"
VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement.pdf,"['BookingEntertainment.com', 'VNUE, Inc.']"
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.pdf,"['SIGA TECHNOLOGIES, INC.', 'MERIDIAN MEDICAL TECHNOLOGIES, INC.']"
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.pdf,"['i3 Integrative Creative Solutions, LLC', 'Bravatek Solutions, Inc.']"
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.pdf,"['Vayyar Imaging Ltd.', 'IndeLiving Holdings, Inc.']"
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.pdf,"['EHAVE, INC.', 'COMPANION HEALTHCARE TECHNOLOGIES CORP']"
SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement.pdf,"['salesforce.com, inc.', 'Salesforce.org']"
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement.pdf,"['IPASS INC.', 'Pareteum Corporation']"
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement.pdf,"['HOF Village, LLC', 'National Football Museum, Inc. d/b/a Pro Football Hall of Fame', 'Constellation NewEnergy, Inc., on behalf of itself and its retail affiliates and subsidiaries', 'HOFV and/or PFHOF, and Constellation,']"
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement.pdf,"['Integrity Short Term Government Fund,', 'The Integrity Funds, Integrity Funds Distributor, LLC,']"
ReynoldsConsumerProductsInc_20200121_S-1A_EX-10.22_11948918_EX-10.22_Service Agreement.pdf,"['Reynolds Group Holdings Inc.', 'Reynolds Consumer Products Inc.', 'Each Party or any of its Affiliates providing services hereunder', 'each Party or any of its Affiliates receiving services hereunder']"
VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement.pdf,"['VERIZON OWNER TRUST', 'VERIZON ABS LLC', 'Cellco Partnership d/b/a Verizon Wireless']"
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement.pdf,"['Jacksonville Jaguars, LLC', 'The ARC Group, Inc.']"
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.pdf,"['Newegg Inc.', 'Allied Esports International, Inc.']"
EcoScienceSolutionsInc_20180406_8-K_EX-10.1_11135398_EX-10.1_Sponsorship Agreement.pdf,"['Fruit of Life Productions LLC', 'Eco Science Solutions, Inc.']"
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.pdf,"['ORGANIC PREPARATIONS INC.', 'AGAPE ATP INTERNATIONAL HOLDING LIMITED']"
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.pdf,"['Freeze Tag Inc.', 'American Diabetes Association']"
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement.pdf,"['Shenzhen LOHAS Supply Chain Management Co., Ltd.', 'the seller']"
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement.pdf,"['REYNOLDS CONSUMER PRODUCTS LLC', 'PACTIV LLC']"
WestPharmaceuticalServicesInc_20200116_8-K_EX-10.1_11947529_EX-10.1_Supply Agreement.pdf,"['ExxonMobil Chemical Company , on behalf of itself and in the interest of the ExxonMobil affiliates listed on Attachment B', 'West Pharmaceutical Services, Inc. , on behalf of itself and the Buyer affiliates listed on Attachment C']"
HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement.pdf,"['HERTZ INVESTMENT GROUP, LLC', 'HERTZ GROUP REALTY TRUST, INC.']"
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement.pdf,"['ARCONIC INC.', 'ARCONIC ROLLED PRODUCTS CORP.']"
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.pdf,"['Morgan Stanley Investment Management Inc.', 'Morgan Stanley Direct Lending Fund']"
NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement.pdf,"['New Mountain Capital, LLC.', 'NMF Senior Loan Fund I, Inc.']"
PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement.pdf,"['Palmer Square Capital Management LLC', 'Palmer Square Capital BDC Inc.']"
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.pdf,"['PennTex North Louisiana Operating, LLC', 'MRD Operating LLC']"
TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement.pdf,"['Great Lakes Gas Transmission Limited Partnership', 'ANR PIPELINE COMPANY']"
RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement.pdf,"['PennTex North Louisiana Operating, LLC', 'MRD Operating LLC']"
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement.pdf,"['ZTO Express Co., Ltd.', 'Tonglu Tongze Logistics Ltd.']"
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement.pdf,"['Amazon.com Commerce Services, Inc.', 'Audible Inc.']"
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,"['I-ESCROW, INC.', '2THEMART.COM, INC.']"
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.pdf,"['Snap Technologies, Inc.', 'United Airlines, Inc.']"
HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.pdf,"['MEDIALINX INTERACTIVE, L.P.', 'HEALTHCENTRAL.com INC.']"
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.pdf,"['VerticalNet, Inc.', 'Impresse Corporation']"
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf,"['About.com, Inc.', 'ebix.com, Inc.']"
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf,"['At Home Corporation', 'e-centives, Inc.']"
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.pdf,"['Lucent Technologies Inc.', 'mPhase Technologies Inc.']"
LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.pdf,"['VerticalNet, Inc.', 'LeadersOnline, Inc.']"
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,"['VerticalNet, Inc.', 'Neoforma.com, Inc.']"
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf,"['VerticalNet, Inc.', 'PaperExchange.com, LLC']"
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf,"['NETTAXI Online Communities, Inc.', 'Solutions Media, Inc.']"
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,"['Dassault Systemes  and/or certain affiliates of Dassault Systems', 'PlanetCAD Inc.']"
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,"['theglobe.com, Inc.', 'The Boxlot Company']"
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,"['iShip.com, Inc.', 'Mail Boxes Etc. USA, Inc.']"
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,"['Chase Bank USA, N.A.,', 'You']"
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,"['National CineMedia, LLC', 'Digital Cinema Destinations Corp.', '“Network Affiliate” and with NCM, ""Party"" and collectively, the ""Parties""']"
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.pdf,"['Link Plus Corporation', 'Axiometric, LLC.']"
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.pdf,"['Web site owners', 'Software Publishers', 'element 5 GmbH and its subsidiaries  and who wish to make use of the additional service provided by element 5']"
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,"['Equidata, Inc.', 'National Credit Report.com, LLC']"
UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf,"['Dr. George D. Green', 'UNION DENTAL CORP.']"
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,"['The TUBE Music Network, Inc.', 'Tribune Broadcasting Company']"
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,"['NETWORK  1 FINANCIAL, INC.', 'Payment Data  Systems,  Inc.']"
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf,"['Bizzingo, Inc', 'Joseph Theismann']"
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.pdf,"['Geno Auriemma', 'Berkshire Bank']"
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf,"['National Football League Alumni - Northern America Chapter', 'National Football League Alumni, Inc', 'Food For Athletes, Inc./Gridiron BioNutrients™']"
LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.pdf,"['Tigrent Learning UK Limited', 'Celebrity Speakers', 'Robbie Fowler']"
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement.pdf,"['Lifeway Foods, Inc.', 'Ludmila Smolyansky']"
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.pdf,"['Golfers Incorporated', 'Andy North']"
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.pdf,"['Healthcare Distribution Specialists LLC', 'Paul Silas']"
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement.pdf,"['Prudential Bank', 'Jeffrey Hanuscin']"
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement.pdf,['Thrivent Financial for Lutherans']
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.pdf,"['ARCA U.S. TREASURY FUND', 'ARCA CAPITAL MANAGEMENT, LLC']"
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.pdf,"['Xencor, Inc.', 'Aimmune Therapeutics, Inc.']"
CnsPharmaceuticalsInc_20200326_8-K_EX-10.1_12079626_EX-10.1_Development Agreement.pdf,"['CNS Pharmaceuticals, Inc.', 'WPD Pharmaceuticals']"
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement.pdf,"['InfinixSoft Global LLC', 'Clickstream Corporation']"
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.pdf,"['Bioeq IP, AG', 'Coherus BioSciences, Inc.']"
ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement.pdf,"['EL POLLO LOCO, INC.', 'an individual']"
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.pdf,"['Emerald Health Sciences Inc.', 'Emerald Health Nutraceuticals Inc.', 'Michael T. Murray, N.D.']"
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.PDF,"['Harpoon Therapeutics, Inc.', 'AbbVie Biotechnology Ltd']"
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement.pdf,"['iBio Inc.', 'Beijing CC-Pharming Ltd.']"
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,"['Document Security Systems, Inc.', 'HotApp International Ltd.']"
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf,"['T&B Seminars, Inc.', 'Legacy Education Alliance Holdings, Inc.']"
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf,"['LIQUIDMETAL TECHNOLOGIES, INC.', 'EUTECTIX, LLC']"
NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development Agreement.pdf,"['NLS-1 Pharma AG', 'Eurofarma Laboratorios S.A.']"
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.pdf,"['PhaseBio Pharmaceuticals Inc.', 'SFJ Pharmaceuticals X, Ltd.']"
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf,"['Revolution Medicines, Inc.', 'Aventis, Inc.']"
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf,"['Sekisui Diagnostics, LLC and its Affiliates', 'Qualigen, Inc. and its Affiliates']"
VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement.pdf,"['VGrab Asia Ltd.', 'Mr. Zheng Qing, Mr. Gu Xianwin and Ms. Chen Weijie']"
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.pdf,"['Beijing SINA Internet Information Service Co., Ltd.', 'Beijing Yisheng Leju Information Services Co., Ltd.']"
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.pdf,"['WPT Enterprises, Inc.', 'ZYNGA INC.', 'ZYNGA GAME IRELAND LIMITED']"
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.pdf,"['Data Call Technologies, Inc', 'PLAN_B MEDIA AG']"
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf,"['Global Music International, Inc. d/b/a Independent Music Network', 'MobileVision Communications, Ltd.']"
IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement.pdf,"['Beijing Sun Seven Stars Culture Development Limited', 'YOU ON DEMAND HOLDINGS, INC']"
MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.pdf,"['Digicorp, Inc.', 'New China Media LLC', 'YGP, LLC', 'TWK Holdings, LLC.']"
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.pdf,"['PACIFICAP ENTERTAINMENT', 'THE HENRY FILM AND ENTERTAINMENT CORPORATION']"
PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement.pdf,"['Phoenix Satellite Television Company Limited', 'Beijing Tianying Jiuzhou Network Technology Co., Ltd']"
RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement.pdf,"['World Book, Inc.', 'HSW International, Inc.']"
WatchitMediaInc_20061201_8-K_EX-10.1_4148672_EX-10.1_Content License Agreement.pdf,"['Watchit Media', 'Oceanic Time Warner Cable']"
XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement.pdf,"['CHINA ECONOMIC INFORMATION SERVICE OF XINHUA NEWS AGENCY', 'XINHUA FINANCIAL NETWORK LIMITED']"
WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.pdf,"['Emdeon Corporation', 'WebMD, Inc.']"
ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement.pdf,"['Zebra Technologies International, LLC , Zebra Technologies do Brasil - Comércio de Produtos de Informåtica Ltda., Xplore Technologies Corporation of America ,', 'ScanSource, Inc. , ScanSource Latin America, Inc. , ScanSource Brazil Distribuidora de Technologias, Ltda. ""ScanSource Brazil""), SCANSOURCE DE MEXICO S. DE R.L. DE C.V.  ,']"
ScansourceInc_20190822_10-K_EX-10.39_11793959_EX-10.39_Distributor Agreement.pdf,"['Cisco Systems, Inc.', 'ScanSource, Inc.']"
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement.pdf,"['Co-Diagnostics, Inc.', 'PreCheck Health Services, Inc.']"
SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,"['SMART RX SYSTEMS, INC.', 'A3 DEVELOPMENT GROUP, LLC']"
StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement.pdf,"['STARAR SURGICAL AG', 'Distributor']"
ZogenixInc_20190509_10-Q_EX-10.2_11663313_EX-10.2_Distributor Agreement.pdf,"['ZOGENIX, INC.', 'Nippon Shinyaku Company, Ltd.']"
